ColumnName,Class,NumberUniqueValues,UniqueValues
CountryCode,tbl_df; tbl; data.frame,1,US
StateCode,tbl_df; tbl; data.frame,1,02
TADA.ResultDepthHeightMeasure.MeasureValueDataTypes.Flag,tbl_df; tbl; data.frame,1,NA - Not Available
TADA.ActivityTopDepthHeightMeasure.MeasureValueDataTypes.Flag,tbl_df; tbl; data.frame,1,NA - Not Available
TADA.ActivityBottomDepthHeightMeasure.MeasureValueDataTypes.Flag,tbl_df; tbl; data.frame,1,NA - Not Available
TADA.SuspectCoordinates.Flag,tbl_df; tbl; data.frame,2,"c(""Pass""; ""Imprecise_lessthan3decimaldigits"")"
TADA.Harmonized.Flag,tbl_df; tbl; data.frame,2,c(FALSE; TRUE)
TADA.DetectionQuantitationLimitMeasure.MeasureValueDataTypes.Flag,tbl_df; tbl; data.frame,2,"c(""NA - Not Available""; ""Numeric"")"
TADA.ActivityDepthHeightMeasure.MeasureValueDataTypes.Flag,tbl_df; tbl; data.frame,2,"c(""NA - Not Available""; ""Numeric"")"
TADA.ActivityDepthHeightMeasure.MeasureUnitCode,tbl_df; tbl; data.frame,2,"c(NA; ""m"")"
VerticalMeasure.MeasureUnitCode,tbl_df; tbl; data.frame,2,"c(""feet""; NA)"
VerticalAccuracyMeasure.MeasureUnitCode,tbl_df; tbl; data.frame,2,"c(""feet""; NA)"
ProviderName,tbl_df; tbl; data.frame,2,"c(""NWIS""; ""STORET"")"
CriteriaValue,tbl_df; tbl; data.frame,2,c(NA; 5)
Flag.NDx0.5_ExceedsCriteria,tbl_df; tbl; data.frame,2,c(NA; FALSE)
TADA.SampleFraction.Flag,tbl_df; tbl; data.frame,3,"c(""Not Reviewed""; ""Pass""; ""Suspect"")"
TADA.MethodSpeciation.Flag,tbl_df; tbl; data.frame,3,"c(""Not Reviewed""; ""Pass""; ""Suspect"")"
TADA.WQXResultUnitConversion,tbl_df; tbl; data.frame,3,"c(""Convert""; ""No Result Value""; ""No Target Unit"")"
TADA.AnalyticalMethod.Flag,tbl_df; tbl; data.frame,3,"c(""Not Reviewed""; ""Pass""; ""Suspect"")"
SamplingDesignTypeCode,tbl_df; tbl; data.frame,3,"c(NA; ""Targeted - A targeted sample is where a \""sample\"" of the subject matter; be that people; plants/animals etc is selected using certain criteria; i.e. pregnant mothers between the ages of 25-30. Targeted samples are usually used by businesses or companies carrying out surveys on a particular group of people.""; ""Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method; you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen.""
)"
QAPPApprovedIndicator,tbl_df; tbl; data.frame,3,"c(NA; ""Y""; ""N"")"
ActivityEndTime.TimeZoneCode,tbl_df; tbl; data.frame,3,"c(NA; ""AKDT""; ""AKST"")"
ResultWeightBasisText,tbl_df; tbl; data.frame,3,"c(NA; ""Dry""; ""Sampled"")"
ResultTemperatureBasisText,tbl_df; tbl; data.frame,3,"c(NA; ""180 deg C""; ""25 deg C"")"
ActivityStartTime.TimeZoneCode_offset,tbl_df; tbl; data.frame,3,c(8; 9; NA)
ActivityEndTime.TimeZoneCode_offset,tbl_df; tbl; data.frame,3,c(NA; 8; 9)
HorizontalAccuracyMeasure.MeasureUnitCode,tbl_df; tbl; data.frame,3,"c(""seconds""; ""Unknown""; NA)"
VerticalCoordinateReferenceSystemDatumName,tbl_df; tbl; data.frame,3,"c(""NGVD29""; ""NAVD88""; NA)"
DrainageAreaMeasure.MeasureUnitCode,tbl_df; tbl; data.frame,3,"c(""sq mi""; NA; ""mi2"")"
HorizontalCoordinateReferenceSystemDatumName,tbl_df; tbl; data.frame,4,"c(""NAD83""; ""WGS84""; ""OTHER""; ""NAD27"")"
ResultValueTypeName,tbl_df; tbl; data.frame,4,"c(""Actual""; ""Estimated""; ""Calculated""; NA)"
TADA.ResultValueAboveUpperThreshold.Flag,tbl_df; tbl; data.frame,4,"c(""Not Reviewed""; ""Pass""; ""Suspect""; ""NA - Not Available"")"
