Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Other Requirements,Listing methodology,Notes,Min_Assess_Period_Yrs,Min_Num_Pts,Dec Use,DEC Use Description
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife"
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Primary Contact Recreation,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,SECONDARY RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Secondary Contact Recreation,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Agriculture, Including Irrigation and Stock Watering"
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Aquaculture
Freshwater streams and rivers,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife"
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Primary Contact Recreation,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER RECREATION,SECONDARY RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Secondary Contact Recreation,
Marine,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Aquaculture
Freshwater,Dissolved Inorganic Substances,Chloride,CHLORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Human Health,Water and Aquatic Organisms
Freshwater,Dissolved Inorganic Substances,Sulfate,SULFATE,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife"
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Agriculture, Including Irrigation and Stock Watering"
Freshwater,Dissolved Inorganic Substances,Total Dissolved Solids,TOTAL DISSOLVED SOLIDS,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Aquaculture
Freshwater,pH,pH,PH,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife"
Freshwater,pH,pH,PH,,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Primary Contact Recreation,
Freshwater,pH,pH,PH,,WATER RECREATION,SECONDARY RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Secondary Contact Recreation,
Freshwater,pH,pH,PH,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Agriculture, Including Irrigation and Stock Watering"
Freshwater,pH,pH,PH,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Aquaculture
Freshwater,pH,pH,PH,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
