OrganizationIdentifier,MonitoringLocationIdentifier,ML_ID,ML_Name,Latitude,Longitude,HUC10_ID,Name_AU,AUID_ATTNS,Type,NavStatus
AKDECWQ,AKDECWQ-DR-1.5,DR-1.5,Deshka River 1.5,61.715851000000022,-150.326216,1902050509,Deshka River,AK_R_2050509_002,River,Unknown
AKDECWQ,AKDECWQ-DR-0.75,DR-0.75,Deshka River 0.75,61.706732999999986,-150.325637,1902050509,Deshka River,AK_R_2050509_002,River,Unknown
AKDECWQ,AKDECWQ-CW-Surrey,CW-Surrey,Cottonwood Creek Surrey Road,61.524930000000033,-149.52985,1902040108,Cottonwood Creek,AK_R_2040108_004_001,River,Unknown
AKDECWQ,AKDECWQ-CW-Edlund,CW-Edlund,Cottonwood Creek,61.554439999999985,-149.48833,1902040108,Cottonwood Creek,AK_R_2040108_004_001,River,Unknown
AKDECWQ,AKDECWQ-CW-Pedersen,CW-Pedersen,Cottonwood Creek Pedersen Park / Old Matanuska Road,61.574760000000019,-149.41104,1902040108,Cottonwood Creek,AK_R_2040108_004_002,River,Unknown
KENAI_WQX,KENAI_WQX-10000002,10000002,KBL_m_01.5,60.543679999999995,-151.22294,1902030218,Kenai River,AK_R_2030218_002_001,River,Navigable
KENAI_WQX,KENAI_WQX-10000005,10000005,KBL_m_06.5,60.540809999999993,-151.18278,1902030218,Kenai River,AK_R_2030218_002_001,River,Navigable
KENAI_WQX,KENAI_WQX-10000008,10000008,KBL_t_00.0,60.550887999999972,-151.268417,1902030218,Unnamed tibutary to Kenai River,AK_R_2030218_009,River,Unknown
KENAI_WQX,KENAI_WQX-10000015,10000015,KBL_t_10.0,60.548028999999943,-151.14324,1902030218,Beaver Creek,AK_R_2030218_001,River,Unknown
KENAI_WQX,KENAI_WQX-10000016,10000016,KBL_m_10.1,60.539278999999972,-151.142263,1902030218,Kenai River,AK_R_2030218_002_001,River,Navigable
KENAI_WQX,KENAI_WQX-10000017,10000017,KBL_m_12.5,60.533742999999966,-151.099258,1902030218,Kenai River,AK_R_2030218_002_001,River,Navigable
KENAI_WQX,KENAI_WQX-10000018,10000018,KBL_m_18.0,60.502004999999976,-151.106973,1902030218,Kenai River,AK_R_2030218_002_001,River,Navigable
KENAI_WQX,KENAI_WQX-10000020,10000020,KBL_t_19.0,60.482317999999985,-151.127053,1902030218,Slikok Creek,AK_R_2030218_006,River,Unknown
KENAI_WQX,KENAI_WQX-10000021,10000021,KBL_m_21.0,60.476634000000004,-151.082099,1902030218,Kenai River,AK_R_2030218_002_002,River,Navigable
KENAI_WQX,KENAI_WQX-10000022,10000022,KBL_t_22.0,60.483364000000051,-151.057656,1902030218,Soldotna Creek,AK_R_2030218_007,River,Unknown
KENAI_WQX,KENAI_WQX-10000023,10000023,KBL_m_23.0,60.480337999999989,-151.030847,1902030218,Kenai River,AK_R_2030218_002_002,River,Navigable
KENAI_WQX,KENAI_WQX-10000024,10000024,KBL_t_30.0,60.489963000000024,-150.860982,1902030217,Funny River,AK_R_2030217_001,River,Unknown
KENAI_WQX,KENAI_WQX-10000025,10000025,KBL_m_31.0,60.498283999999998,-150.863121,1902030218,Kenai River,AK_R_2030218_002_002,River,Navigable
KENAI_WQX,KENAI_WQX-10000026,10000026,KBL_t_36.0,60.536869999999993,-150.754724,1902030216,Moose River,AK_R_2030216_002,River,Unknown
KENAI_WQX,KENAI_WQX-10000027,10000027,KBL_m_40.0,60.515441000000017,-150.702069,1902030218,Kenai River,AK_R_2030218_002_002,River,Navigable
KENAI_WQX,KENAI_WQX-10000028,10000028,KBL_m_43.0,60.489843999999970,-150.636905,1902030218,Kenai River,AK_R_2030218_002_002,River,Navigable
KENAI_WQX,KENAI_WQX-10000029,10000029,KBL_t_44.0,60.481518000000015,-150.632498,1902030215,Killey River,AK_R_2030215_002,River,Unknown
KENAI_WQX,KENAI_WQX-10000030,10000030,KBL_m_50.0,60.467517000000022,-150.507789,1902030214,Kenai River,AK_R_2030214_007,River,Navigable
KENAI_WQX,KENAI_WQX-10000031,10000031,KBL_m_70.0,60.481392000000014,-150.11502,1902030214,Middle Kenai River,AK_R_2030214_005,River,Unknown
KENAI_WQX,KENAI_WQX-10000032,10000032,KBL_t_74.0,60.484621999999987,-149.993955,1902030214,Russian River,AK_R_2030214_010,River,Unknown
