ASSESSMENT_UNIT_ID,USE_NAME,USE_AGENCY_CODE,USE_TREND,USE_THREATENED,USE_ASMT_BASIS,USE_MONITORING_START,USE_MONITORING_END,USE_ASMT_DATE,USE_ASSESSOR_NAME,USE_COMMENT,USE_STATE_IR_CAT,USE_ORG_QUALIFIER_FLAG
AK_M_3010208_006,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2020-09-26,2022-06-28,,,,,
AK_M_3010208_006,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2020-09-26,2022-06-28,,,,,
AK_M_3010208_006,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2020-09-26,2022-06-28,,,,,
AK_M_3010208_006,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2020-09-26,2022-06-28,,,,,
AK_M_3010208_006,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2020-09-26,2022-06-28,,,,,
AK_M_3010208_006,MARINE / WATER SUPPLY,S,,,,2020-09-26,2022-06-28,,,,,
AK_M_5010416_001,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2020-08-27,2020-09-01,,,,,
AK_M_5010416_001,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2020-08-27,2020-09-01,,,,,
AK_M_5010416_001,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2020-08-27,2020-09-01,,,,,
AK_M_5010416_001,MARINE / WATER SUPPLY,S,,,,2020-08-27,2020-09-01,,,,,
AK_M_5010417_001,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010417_001,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010417_001,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010417_001,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010417_001,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010417_001,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010417_001,MARINE / WATER SUPPLY,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010420_001,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010420_001,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010420_001,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010420_001,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010420_001,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010420_001,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_5010420_001,MARINE / WATER SUPPLY,S,,,,2020-08-27,2022-08-01,,,,,
AK_M_6020201_004,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2021-08-24,2021-08-24,,,,,
AK_M_6020201_004,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2021-08-24,2021-08-24,,,,,
