Active_AUID,Retired_AUID,Historical_AUID
AK-20202-804,,
AK-20202-805,,
AK-20202-808,,
AK-20202-809,,
AK-20202-811,,
AK-20202-812,,
AK-20202-813,,
AK-20202-814,,
AK-20202-815,,
AK-20202-816,,
AK-20202-817,,
AK-20202-818,,
AK-20202-819,,
AK-20202-821,,
AK_R_2050503_003,AK-20505-009,
AK_R_2060118_002,AK-20601-001,
AK-80310-401,,
AK_B_1010203_005,AK_B_1010203_001,
