Active_AUID,Retired_AUID,Historical_AUID
AK_M_1010306_002,AK-10103-001_00,
AK_M_1010306_003,AK-10103-003_00,
AK_M_1010309_007,AK-10103-803_00,
AK_M_1010310_021,AK-10103-006_00,
AK_M_1010313_005,AK-10103-502_00,
AK_M_1020408_002,AK-10204-501_00,
AK_M_1020408_005,AK-10204-502,AK-10204-801_00
AK_M_1020614_001,AK-10201-501_00,
AK_M_1020902_005,AK-10102-603_00,
AK_M_1021005_005,AK-10202-801_00,
AK_M_1021005_006,AK-10202-501_00,AK-10202-601_00
AK_M_1021006_004,AK-10202-802_00,
AK_M_1021007_002,AK-10202-602_00,
AK_M_1021010_005,AK-10202-803_00,
AK_M_1021010_006,AK-10202-006_00,
AK_M_1021103_001,AK-10203-802_00,
AK_M_1021103_002,AK-10203-501_00,AK-10203-503_00
AK_M_1021103_008,AK-10203-809_00,
AK_M_1021109_007,AK-10203-504,AK-10203-803_00
AK_M_1021109_010,AK-10203-808_00,
AK_M_1021109_011,AK-10203-804_00,
AK_M_1021113_003,AK-10203-805_00,
AK_M_1021115_007,AK-10203-010,
AK_M_1021116_020,AK-10203-602_00,
AK_M_1021207_002,AK-10212-503,AK-10203-503
AK_M_1021208_004,AK-10203-502_00,
AK_M_1021211_010,AK-10203-603,
AK_M_1021211_020,AK-10203-601_00,
AK_M_1021211_020_001,,
AK_M_1021212_017,AK-10203-807_00,
AK_M_1021212_018,AK-10203-806_00,AK-10203-504_00
AK_M_1030104_001,AK-10301-502,AK-10301-502_00
AK_M_1030106_002,AK-10301-802_00,
AK_M_1030106_003,AK-10301-804,
AK_M_1030107_002,AK-10301-501_00,
AK_M_1030107_025,AK-10301-801_00,
AK_M_1030305_003,AK-10303-601,AK-10303-601_00
AK_M_1030308_003,AK-10303-602_00,
AK_M_2020102_009,AK-20201-801_00,
AK_M_2020107_005,AK-20201-802_00,
AK_M_2020111_005,AK-20201-602_00,
AK_M_2020111_011,AK-20201-603_00,
AK_M_2020120_011,AK-20202-501,AK-20202-501_00
AK_M_2020123_010,AK-20202-601_00,
AK_M_2020301_002,AK-20201-501_00,
AK_M_2020303_017,AK-20202-801_00,
AK_M_2030108_003,AK-20301-520,AK-20301-520_00
AK_M_2030108_005,AK_R_2030108_022,AK-20301-028_00
AK_M_2030108_006,AK-20301-505_00,
AK_M_2030111_002,AK-20301-506,AK-20301-506_00
AK_M_2030111_004,AK-20301-601_00,
AK_M_2030111_005,AK-20301-502_00,
AK_M_2030111_008,AK-20301-507,AK-20301-507_00
AK_M_2030111_009,AK-20301-503_00,
AK_M_2030111_010,AK-20301-508,AK-20301-508_00
AK_M_2030112_006,AK-20301-501,AK-20301-501_00
AK_M_2030112_009,AK-20301-011_00,
AK_M_2030112_012,AK-20301-018,
AK_M_2030112_013,AK-20301-510,AK-20301-510_00
AK_M_2030112_017,AK-20301-602_00,AK-20301-509_00
AK_M_2040108_002,AK-20505-501_00,
AK_M_2050513_004,AK-20401-601_00,
AK_M_2060205_005,AK-20602-601,AK-20602-601_00
AK_M_2070114_011,AK-20701-502_00,
AK_M_2070114_030,AK-20701-501_00,AK-20701-504_00
AK_M_2070115_004,AK-20701-605_00,
AK_M_2070115_012,AK-20701-503,AK-20701-503_00
AK_M_2070115_015,AK-20701-802_00,
AK_M_2070115_017,AK-20701-701_00,
AK_M_2080000_004,AK-20301-504_00,
AK_M_3010115_017,AK-30101-502_00,AK-30101-602_00
AK_M_3010122_001,AK-30101-500,AK-30101-503_00
AK_M_3010123_005,AK-30101-601_00,AK-30101-501_00
AK_M_3010207_004,AK-30102-604_00,
AK_M_3010207_023,AK-30102-501,AK-30102-501_00
AK_M_3010208_002,AK-30102-605_00,
AK_M_3010208_005,AK-30102-606_00,AK-30401-601_00
AK_M_3010208_008,AK-30102-502,
AK_M_3010208_009,AK-30102-602_00,
AK_M_3010208_022,AK-30102-603_00,
AK_M_3010211_003,AK-30102-608_00,
AK_M_3010211_012,AK-30102-607_00,
AK_M_3010300_177,AK-30103-501_00,
AK_M_3010400_006,AK-30104-601_00,
AK_M_5010517_002,AK-50104-801_00,
AK_M_5040316_002,AK-50403-601_00,
AK_M_5040316_003,AK-50301-601,AK-50301-601_00
AK_M_6040116_001,AK-60402-601_00,
AK_R_1010203_005,AK-10102-002_00,
AK_R_1010204_001,AK-10102-003_00,
AK_R_1010204_002,AK-10102-005_00,
AK_R_1010204_003,AK-10102-006_00,
AK_R_1010204_009,AK-10102-007,AK-10102-007_00
AK_R_1010205_009,AK-10102-001_00,
AK_R_1010205_012,AK-10102-004_00,
AK_R_1010301_002,AK-10103-009_00,
AK_R_1010301_004,AK-10103-010,
AK_R_1010301_005,AK-10103-012,
AK_R_1010301_006,AK-10103-013,
AK_R_1010301_007,AK-10103-014,
AK_R_1010301_008,AK-10103-015,
AK_R_1010304_002,AK-10103-007_00,
AK_R_1010305_005,AK-10103-031_00,
