Salinity,pH,Temperature,Magnitude
30000000,9,10,0.2
30000000,7,15,12.4
30000000,7.2,15,8
30000000,7.4,15,4.9
30000000,7.6,15,3
30000000,7.8,15,2
30000000,8,15,1.3
30000000,8.2,15,0.8
30000000,8.4,15,0.5
30000000,8.6,15,0.3
30000000,8.8,15,0.2
30000000,9,15,0.2
30000000,7,20,9.1
30000000,7.2,20,5.4
30000000,7.4,20,3.4
30000000,7.6,20,2.6
30000000,7.8,20,1.4
30000000,8,20,0.9
30000000,8.2,20,0.6
30000000,8.4,20,0.4
30000000,8.6,20,0.2
30000000,8.8,20,0.2
30000000,9,20,0.1
30000000,7,25,5.9
30000000,7.2,25,3.9
30000000,7.4,25,2.4
30000000,7.6,25,1.5
30000000,7.8,25,1
30000000,8,25,0.6
30000000,8.2,25,0.4
30000000,8.4,25,0.3
30000000,8.6,25,0.2
30000000,8.8,25,0.1
30000000,9,25,0.1
30000000,7,30,4.1
30000000,7.2,30,2.6
30000000,7.4,30,1.6
30000000,7.6,30,1.1
30000000,7.8,30,0.7
30000000,8,30,0.4
30000000,8.2,30,0.3
30000000,8.4,30,0.2
30000000,8.6,30,0.1
30000000,8.8,30,0.1
30000000,9,30,0.1
30000000,7,35,2.8
30000000,7.2,35,1.8
30000000,7.4,35,1.2
30000000,7.6,35,0.7
30000000,7.8,35,0.5
30000000,8,35,0.3
30000000,8.2,35,0.2
30000000,8.4,35,0.1
30000000,8.6,35,0.1
30000000,8.8,35,0.1
30000000,9,35,0.1
